venda,simples,,,,,,premium,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"R$ 8,00","R$ 13,00",,,,,"R$ 11,00","R$ 14,00","Premium: salsicha, batata palha, queijo e milho  sem coca 10,00 / com coca 13,00 - Simples  salsicha, batata palha e milho sem coca 7,00 / com coca 10,00 - coca-cola 5,00",,,,,,FECHAMENTO FINAL,,,,
,Dogão,Combo ,Valor,PG,Forma de pagamento,,Dogão,Combo ,,,,,,,,,,,
,,1,"R$ 10,00",,PIX,,,,,,,,,,QUANTIDADE VENDIDAS DE TIPOS DE CACHORRO QUENTE,,,,
,,1,"R$ 10,00",,PIX,,,,,,,,,,,,,,
,,1,"R$ 10,00",,PIX,,,,,,,,,,premium,,,simples ,
,,2,"R$ 26,00",,PIX,,,,nota,114,,,,,44,,,26,
,1,,"R$ 3,00",,PIX,,,,1,16,,,,,,,,,
,,1,"R$ 13,00",,PIX,,,,"0,5","26,5",,,,,COM MAIONESE DE BACON,,,,
,,1,"R$ 13,00",,PIX,,,,"0,25",7,,,,,,,,,
,,,"R$ 28,00",,PIX,,,2,,11,,,,,premium,,,,
,,1,"R$ 10,00",,PIX,,,,,"0,85",,,,,23,,,,
,1,,"R$ 8,00",,PIX,,,,,"40,95",,,,,,,,,
1,,,"R$ 2,38",,,,,,,,,,,,QUANTIDADE TOTAL DE COCA-COLA E CACHORRO QUENTE,,,,
,,,"R$ 14,00",,PIX,,,1,,,,,,,,,,,
,2,,"R$ 16,00",,PIX,,,,,,,,,,,COCA-COLA,HOT DOG,,
,,,"R$ 11,00",,PIX,,1,,,,,,,,TOTAL,51,74,,
,,,"R$ 14,00",,,,,1,,,,,,,,,,,
,,,"R$ 14,00",,,,,1,,,,,,,QUANTIDADE GANHA - MORADORA,,12,,
,,,"R$ 11,00",,,,1,,,,,,,,QUANTIDADE PAGA - MORADORA,,4,,
,,,"R$ 14,00",,,,,1,,,,,,,,,,,
,,,"R$ 14,00",,,,,1,,,,,,,VALOR OBTIDO,,,VALOR GASTO,"R$ 478,05"
,,2,"R$ 26,00",,,,,,,,,,,,CACHORRO QUENTE,"R$ 694,85",,LUCRO LÍQUIDO,"R$ 369,80"
,,2,"R$ 26,00",,,,,,,,,,,,COCA-COLA,"R$ 153,00",,,
,,,"R$ 14,00",,,,,1,,,,,,,,,,,
,,,"R$ 28,00",,,,,2,,,,,,,TOTAL,"R$ 847,85",,,
,,,"R$ 14,00",,,,,1,,,,,,,,,,,
,,,"R$ 14,00",,,,,1,,,,,,,,,,,
,1,,"R$ 19,00",,,,1,,,,,,,,,,,,
,,2,"R$ 20,00",,,,,,,,,,,,,,,,
,1,,"R$ 3,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
1,,,"R$ 2,38",,,,,,,,,,,,,,,,
,,,"R$ 10,00",,,,1,,,,,,,,,,,,
,1,,"R$ 7,00",,,,,,,,,,,,,,,,
,,,39,,,,,3,,,,,,,,,,,
,,,26,,,,,2,,,,,,,,,,,
Total,7,15,,,,,4,17,,,COCA-COLA,HOT DOG,,,,,,,
,dogão,combo,,,,,dogão,combo,,TOTAL,32,43,,,,,,,
,simples ,,,,,,premium,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,SOMA,"R$ 502,76",,,,,,,,,,,,,,,,
,,total com dinheiro,"R$ 543,71",,"594,29",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
venda,premium,,,,,,simples,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"R$ 10,00","R$ 13,00",,,,,"R$ 7,00","R$ 10,00",,,,,,,,,,,
,,,Valor,,,,,Combo ,,,,,,,,,,,
1,,,"R$ 2,38",,,,,,,,,,,,,,,,
,,,"R$ 7,00",,,,1,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
,1,1,"R$ 23,00",,,,,,,,,,,,,,,,
,1,,"R$ 10,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
,1,1,"R$ 23,00",,,,,,,,,,,,,,,,
,1,,"R$ 10,00",,,,,,,,,,,,,,,,
,1,,"R$ 10,00",,,,,,,,,,,,,,,,
1,1,,"R$ 10,00",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2,"R$ 23,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
,,2,"R$ 26,00",,,,,,,,,,,,,,,,
,,,"R$ 7,00",,,,1,,,,,,,,,,,,
1,,,"R$ 2,38",,,,,,,,,,,,,,,,
,2,1,"R$ 33,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
,,1,13,,,,,,,,,,,,,,,,
,1,,"R$ 10,00",,,,,,,,,,,,,,,,
,,1,"R$ 13,00",,,,,,,,,,,,,,,,
2,,,"R$ 8,00",,,,,,,,,,,,,,,,
1,,,"R$ 5,38",,,,1,,,,,,,,,,,,
,,,"R$ 3,00",,,,1,,,,,,,,,,,,
Total,9,14,,,,,4,0,,,COCA-COLA,HOT DOG,,,,,,,
,dogão,combo,,,,,dogão,combo,,TOTAL,19,27,,,,,,,
,premium,,,,,,simples,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,SOMA,"R$ 304,14",,,,,,,,,,,,,,,,